127 7.8723 4.3552 3.36287 46.5522	   4.28
129 7.8821 4.3595 3.3651 47.4004	   4.2
131 7.8925 4.3641 3.36748 48.2645	   4.11
133 7.9022 4.3682 3.3697 49.1447	   4.03
135 7.9110 4.3722 3.37176 50.0414	   3.95
137 7.9194 4.3759 3.37395 50.9548	   3.86
139 7.9288 4.3800 3.37614 51.8852	   3.78
141 7.9365 4.3836 3.37801 52.8330	   3.69
143 7.9463 4.3878 3.38032 53.7986	   3.61
145 7.9542 4.3912 3.3822 54.7821	   3.52
147 7.9640 4.3952 3.38453 55.7840	   3.44
149 7.9721 4.3991 3.38646 56.8047	   3.35
151 7.9803 4.4026 3.38848 57.8444	   3.32
153 7.9891 4.4065 3.39058 58.9035	   3.34
155 7.9973 4.4100 3.39256 59.9825	   3.35
157 8.0059 4.4138 3.39467 61.0816	   3.37
159 8.0141 4.4172 3.39664 62.2013	   3.38
161 8.0220 4.4207 3.39859 63.3419	   3.4
163 8.0300 4.4241 3.40058 64.5038	   3.42
165 8.0385 4.4276 3.4027 65.6875	   3.43
167 8.0458 4.4308 3.40451 66.8934	   3.45
169 8.0539 4.4343 3.40644 68.1218	   3.47
171 8.0639 4.4387 3.40895 69.3733	   3.48
173 8.0710 4.4417 3.41077 70.6483	   3.5
175 8.0795 4.4454 3.41287 71.9472	   3.51
177 8.0873 4.4487 3.41482 73.2704	   3.53
179 8.0948 4.4519 3.41675 74.6185	   3.55
181 8.1025 4.4551 3.41869 75.9918	   3.56
183 8.1106 4.4584 3.42075 77.3909	   3.58
185 8.1182 4.4616 3.42268 78.8163	   3.6
187 8.1252 4.4646 3.42446 80.2684	   3.61
189 8.1325 4.4674 3.42641 81.7477	   3.63
191 8.1394 4.4700 3.42824 82.8964	   3.64
193 8.1467 4.4727 3.4302 83.9535	   3.66
195 8.1533 4.4750 3.432 85.0235	   3.68
197 8.1593 4.4772 3.43367 86.1064	   3.69
199 8.1658 4.4795 3.43547 87.2025	   3.71
201 8.1730 4.4821 3.43741 88.3119	   3.74
203 8.1795 4.4844 3.4392 89.4349	   3.78
205 8.1861 4.4867 3.441 90.5715	   3.81
207 8.1923 4.4889 3.44281 91.7219	   3.85
209 8.1987 4.4911 3.44459 92.8862	   3.89
211 8.2050 4.4931 3.44638 94.0646	   3.93
213 8.2109 4.4952 3.44805 95.2573	   3.97
215 8.2172 4.4974 3.44984 96.4644	   4.01
217 8.2242 4.5000 3.45176 97.6861	   4.05
219 8.2306 4.5022 3.45353 98.9226	   4.09
221 8.2375 4.5046 3.45541 100.1741	   4.13
223 8.2438 4.5068 3.45717 101.4408	   4.17
225 8.2500 4.5089 3.45894 102.7227	   4.21
227 8.2557 4.5109 3.4606 104.0200	   4.24
229 8.2619 4.5129 3.46237 105.3330	   4.28
231 8.2680 4.5149 3.46413 106.6618	   4.32
233 8.2742 4.5171 3.46589 108.0065	   4.36
235 8.2810 4.5195 3.46778 109.3675	   4.4
237 8.2872 4.5216 3.46955 110.7449	   4.44
239 8.2935 4.5238 3.47132 112.1389	   4.48
241 8.2996 4.5259 3.47307 113.5496	   4.52
243 8.3057 4.5280 3.47482 114.9772	   4.56
245 8.3127 4.5303 3.47685 116.4221	   4.6
247 8.3188 4.5323 3.47859 117.8843	   4.64
249 8.3249 4.5344 3.48034 119.3642	   4.67
251 8.3309 4.5365 3.48208 120.8617	   4.71
253 8.3369 4.5385 3.48383 122.3771	   4.75
255 8.3429 4.5405 3.48557 123.9107	   4.79
257 8.3489 4.5426 3.48731 125.4626	   4.83
259 8.3553 4.5446 3.4892 127.0332	   4.87
261 8.3613 4.5466 3.49093 128.6225	   4.87
263 8.3672 4.5486 3.49267 130.2308	   4.82
265 8.3737 4.5508 3.49454 131.8584	   4.77
267 8.3796 4.5528 3.49628 133.5054	   4.73
269 8.3863 4.5551 3.49814 135.1721	   4.68
271 8.3926 4.5571 3.50003 136.8588	   4.63
273 8.3984 4.5591 3.50176 138.5656	   4.58
275 8.4049 4.5613 3.50364 140.2928	   4.54
277 8.4107 4.5632 3.50537 142.0407	   4.49
